workload,tracepoints were traced last second,cumulative moving mean of page offsets,cumulative moving standard deviation of page offsets,absolute page offset differences for consecutive tracepoints,inode number
readreverse,1,0.0,0.0,0,1342340
readreverse,2,323.0,323.0,646,2805381
readreverse,2,215.33333333333334,304.5273204310065,-646,2228264
readreverse,3,161.5,279.7262054223737,0,2228257
readreverse,3,129.4,258.30029035988326,1,2228257
readreverse,4,107.83333333333333,240.67572697626895,-1,2228259
readreverse,5,1274544.4285714286,3121719.375815553,8921164,8388611
readreverse,6,2229338.375,3861141.1188443997,-8268,8388611
readreverse,7,2972873.888888889,4204126.679913662,8262,8388611
readreverse,8,2937731.1,3989777.9596343064,-6299712,8388611
readreverse,9,3528591.727272727,4238203.656423751,6815752,8388611
readreverse,10,3234542.8333333335,4173322.2161139366,-9437193,8388611
readreverse,11,3671340.4615384615,4285601.995618129,8912907,8388611
readreverse,12,4045739.714285714,4344740.759373837,18,8388611
readreverse,13,4370219.0,4369477.780897911,-1,8388611
readreverse,14,4424885.875,4236023.1445584055,-3668040,8388611
readreverse,15,4164598.529411765,4239382.154749247,-5244888,8388611
readreverse,16,4020613.3333333335,4162491.570529803,1572864,8388611
readreverse,17,3974567.263157895,4056178.9876878723,1572873,8388611
readreverse,18,3775839.05,4047261.263193451,-3145735,8388611
readreverse,19,3820732.3333333335,3954821.9244966833,4718595,8388611
readreverse,20,3885466.6818181816,3875265.2291502976,526290,8388611
readreverse,21,3716533.347826087,3872025.869100349,-5244888,8388611
readreverse,22,4020568.7916666665,4061275.291426594,11013384,8388611
readreverse,23,4006547.4,3979813.701572545,-7343350,8388611
readreverse,24,3993647.8846153845,3903061.351996989,1126,8388611
readreverse,25,3845735.074074074,3903652.5247534225,-3671158,8388611
readreverse,26,3839459.4285714286,3833449.3792684698,3670015,8388611
readreverse,27,3833656.103448276,3766900.7796337935,1146,8388611
readreverse,28,3705867.6333333333,3766978.055048994,-3671161,2228257
readreverse,29,3586323.5161290322,3763123.917866154,-2,2228260
readreverse,30,3474250.90625,3756053.1894518393,0,2228260
readreverse,31,3368970.5757575757,3746346.0463200836,0,2228261
readreverse,32,3269883.294117647,3734476.527405182,3,2228257
readreverse,33,3176458.1714285715,3720834.5049811336,1,2228257
readreverse,34,3088223.222222222,3705742.3208989687,-4,2228263
readreverse,35,3004757.756756757,3689467.4703592598,1,2228263
readreverse,36,3160235.1052631577,3761431.087688965,8912896,8388611
readreverse,37,3079203.564102564,3746344.5480820285,-8912892,2228257
readreverse,1,3002233.475,3730317.8719999385,395,2805381
readreverse,2,2929039.1951219514,3713511.9047047715,868,2805381
readreverse,3,2859319.6666666665,3696096.128097118,-449,2805381
readreverse,4,2792838.0465116277,3678186.756294497,-209,2805381
readreverse,5,2729392.8181818184,3659872.5385456593,638,2805381
readreverse,6,2668767.7555555557,3641253.2531232713,17,2805381
readreverse,7,2610757.3695652173,3622419.9529350926,-975,2805381
