workload,tracepoints were traced last second,cumulative moving mean of page offsets,cumulative moving standard deviation of page offsets,absolute page offset differences for consecutive tracepoints,inode number
readseq,1,0.0,0.0,0,1342340
readseq,2,330.5,330.5,661,2805381
readseq,3,220.33333333333334,311.598388242872,-661,2228264
readseq,4,165.25,286.22139595075697,0,2228257
readseq,5,132.4,264.30028376829256,1,2228257
readseq,6,110.33333333333333,246.26589063223693,-1,2228259
readseq,7,1274546.142857143,3121717.451590181,8921161,8388611
readseq,8,2229339.875,3861139.386656788,-8265,8388611
readseq,9,2972875.222222222,4204125.029995309,8262,8388611
readseq,10,2937732.3,3989776.4055007654,-6299712,8388611
readseq,11,2670665.909090909,3896721.791755439,-2621444,8388611
readseq,12,2710255.25,3733136.9030878516,3145736,8388611
readseq,13,3227712.3846153845,4009667.0482146316,6291460,8388611
readseq,14,3633798.0714285714,4131926.2575037302,-524286,8388611
readseq,15,3985740.2,4203416.779681297,18,8388611
readseq,16,4293689.5,4241097.694616572,-1,8388611
readseq,17,4041119.705882353,4236687.404158804,-8912926,8388611
readseq,18,4078757.388888889,4120243.5260768416,4718595,8388611
readseq,19,4140132.736842105,4018795.3946441514,526291,8388611
readseq,20,4404986.05,4083623.2533298107,4192310,8388611
readseq,21,4195225.047619048,4094127.2825089176,-9437194,8388611
readseq,22,4409664.681818182,4118937.5015431237,8912892,8388611
readseq,23,4445978.739130435,4031999.6266789013,-3668009,8388611
readseq,24,4260729.708333333,4045854.766725295,-5244886,2228257
readseq,25,4090300.52,4051085.0101373396,-2,2228260
readseq,26,3932981.269230769,4049545.6502725338,0,2228260
readseq,27,3787315.296296296,4042664.868420131,0,2228261
readseq,28,3652054.1428571427,4031555.0776509196,3,2228257
readseq,29,3526121.379310345,4017091.824702091,1,2228257
readseq,30,3408584.0,3999970.2333481517,-4,2228263
readseq,31,3298629.709677419,3980746.022532899,1,2228263
readseq,32,3195547.6875,3959866.6401276733,4,2228257
readseq,1,3098726.4545454546,3937683.9703375483,442,2805381
readseq,2,3007602.088235294,3914503.24438532,51,2805381
readseq,3,2921683.6285714284,3890567.2386515727,-42,2805381
readseq,4,2840560.4166666665,3866055.9844220895,792,2805381
readseq,5,2763820.4324324327,3841150.521016197,-67,2805381
readseq,6,2691116.736842105,3815984.574221323,-101,2805381
readseq,7,2622114.230769231,3790684.8336947113,-1061,2805378
readseq,8,2556583.35,3765306.9964790754,860,2805381
readseq,9,2494228.1463414636,3739955.8894085158,-859,2805378
